crop_name,planting_date,harvest_date,growth_stage,pest_control_measures,yield_prediction
Tomato,2024-01-16,2024-03-26,Flowering,Regular field monitoring,3095
Barley,2024-04-10,2024-09-01,Maturity,Neem oil application,3678
Wheat,2024-12-30,2025-05-03,Maturity,Biological pest control,4964
Soybean,2025-01-27,2025-07-01,Maturity,Biological pest control,4940
Barley,2024-12-24,2025-02-26,Vegetative,Chemical pesticides,2760
Cotton,2024-01-13,2024-03-30,Fruiting,Regular field monitoring,2266
Sugarcane,2024-03-13,2024-07-09,Maturity,Chemical pesticides,3645
Corn,2024-02-26,2024-05-29,Flowering,Biological pest control,4088
Rice,2023-12-25,2024-06-20,Flowering,Use of organic pesticides,2139
Soybean,2023-12-02,2024-02-29,Flowering,Crop rotation,1023
Soybean,2024-12-30,2025-06-12,Seedling,Biological pest control,2898
Wheat,2025-01-28,2025-04-30,Fruiting,Regular field monitoring,2803
Corn,2023-07-06,2023-11-08,Vegetative,Biological pest control,4554
Sugarcane,2023-05-18,2023-09-11,Maturity,Regular field monitoring,4198
Wheat,2023-04-10,2023-06-29,Flowering,Use of organic pesticides,2236
Tomato,2023-10-03,2023-12-11,Maturity,Crop rotation,4563
Potato,2024-11-25,2025-03-15,Maturity,Neem oil application,829
Potato,2024-01-10,2024-04-20,Flowering,Use of organic pesticides,3556
Potato,2024-11-30,2025-04-23,Maturity,Use of organic pesticides,2128
Lettuce,2024-10-27,2025-02-12,Flowering,Chemical pesticides,3382
Rice,2024-11-06,2025-04-17,Seedling,Biological pest control,2586
Potato,2024-03-12,2024-07-05,Vegetative,Crop rotation,2415
Cotton,2024-06-14,2024-10-24,Maturity,Regular field monitoring,524
Soybean,2023-06-30,2023-09-24,Vegetative,Crop rotation,4518
Rice,2023-10-03,2024-02-25,Seedling,Regular field monitoring,4788
Barley,2024-05-29,2024-08-15,Vegetative,Crop rotation,2534
Wheat,2024-05-03,2024-08-24,Seedling,Use of organic pesticides,2438
Sugarcane,2024-02-11,2024-04-22,Fruiting,Biological pest control,4560
Rice,2024-02-24,2024-07-09,Maturity,Chemical pesticides,3869
Cotton,2023-04-18,2023-07-19,Maturity,Use of organic pesticides,2366
Cotton,2024-10-29,2025-04-21,Seedling,Biological pest control,2943
Wheat,2024-03-14,2024-08-20,Seedling,Chemical pesticides,3002
Cotton,2023-10-19,2023-12-28,Vegetative,Neem oil application,4834
Rice,2023-06-21,2023-08-30,Maturity,Neem oil application,3122
Corn,2024-11-24,2025-05-04,Flowering,Chemical pesticides,2040
Soybean,2024-08-15,2025-01-28,Maturity,Crop rotation,3468
Sugarcane,2024-12-10,2025-02-13,Vegetative,Use of organic pesticides,3811
Soybean,2023-07-04,2023-10-17,Maturity,Neem oil application,1669
Corn,2023-08-13,2024-02-02,Flowering,Neem oil application,3324
Barley,2024-01-27,2024-03-28,Flowering,Biological pest control,3236
Rice,2023-08-18,2023-11-25,Vegetative,Use of organic pesticides,1402
Potato,2024-09-28,2024-12-23,Flowering,Regular field monitoring,4711
Wheat,2023-11-17,2024-02-12,Maturity,Crop rotation,4508
Lettuce,2023-04-13,2023-07-02,Fruiting,Neem oil application,2140
Sugarcane,2024-03-02,2024-05-04,Fruiting,Use of organic pesticides,4254
Rice,2024-07-16,2024-12-17,Maturity,Use of organic pesticides,2279
Wheat,2024-08-25,2024-11-22,Fruiting,Neem oil application,4426
Wheat,2023-03-16,2023-06-03,Vegetative,Regular field monitoring,3915
Rice,2023-08-30,2023-12-16,Seedling,Biological pest control,2165
Potato,2023-03-17,2023-08-07,Vegetative,Biological pest control,546
Lettuce,2023-10-23,2023-12-31,Maturity,Crop rotation,891
Potato,2024-02-11,2024-04-22,Seedling,Biological pest control,1145
Potato,2023-11-09,2024-03-26,Flowering,Regular field monitoring,3081
Sugarcane,2023-09-30,2023-11-30,Maturity,Chemical pesticides,3374
Corn,2024-04-20,2024-07-25,Flowering,Chemical pesticides,4789
Wheat,2024-06-25,2024-09-24,Flowering,Biological pest control,3643
Soybean,2023-11-23,2024-04-23,Fruiting,Biological pest control,664
Tomato,2023-04-26,2023-06-29,Fruiting,Biological pest control,4744
Barley,2024-04-26,2024-08-08,Fruiting,Regular field monitoring,3340
Potato,2024-03-05,2024-07-05,Seedling,Use of organic pesticides,3106
Wheat,2023-12-31,2024-04-13,Vegetative,Biological pest control,3629
Corn,2024-05-16,2024-11-12,Vegetative,Chemical pesticides,2197
Barley,2023-09-24,2023-12-06,Fruiting,Use of organic pesticides,4938
Cotton,2023-12-29,2024-03-22,Seedling,Chemical pesticides,3913
Wheat,2023-11-14,2024-03-07,Flowering,Use of organic pesticides,1579
Wheat,2024-03-12,2024-08-04,Vegetative,Neem oil application,1815
Corn,2025-02-03,2025-06-03,Seedling,Chemical pesticides,1203
Barley,2024-06-07,2024-10-16,Vegetative,Crop rotation,2696
Potato,2023-03-08,2023-08-29,Vegetative,Chemical pesticides,2102
Soybean,2023-12-06,2024-02-29,Maturity,Biological pest control,1419
Tomato,2023-10-26,2024-03-20,Vegetative,Regular field monitoring,4061
Tomato,2024-07-12,2024-09-13,Maturity,Biological pest control,1938
Cotton,2023-04-07,2023-06-21,Flowering,Crop rotation,3013
Wheat,2023-11-02,2024-04-18,Maturity,Use of organic pesticides,568
Corn,2024-12-01,2025-02-07,Flowering,Neem oil application,1566
Rice,2024-12-07,2025-03-28,Fruiting,Crop rotation,2917
Sugarcane,2023-11-15,2024-03-19,Seedling,Use of organic pesticides,1855
Barley,2024-09-22,2025-03-04,Vegetative,Neem oil application,2621
Wheat,2024-12-06,2025-02-22,Fruiting,Use of organic pesticides,2451
Tomato,2023-05-20,2023-11-01,Flowering,Use of organic pesticides,2295
Rice,2024-11-17,2025-01-23,Flowering,Chemical pesticides,2533
Wheat,2023-12-01,2024-02-06,Seedling,Chemical pesticides,1143
Tomato,2024-03-26,2024-08-16,Maturity,Regular field monitoring,4788
Corn,2024-05-25,2024-10-30,Flowering,Chemical pesticides,894
Cotton,2023-09-26,2023-12-25,Vegetative,Regular field monitoring,4314
Wheat,2023-11-16,2024-03-12,Fruiting,Crop rotation,817
Corn,2023-12-16,2024-05-10,Flowering,Chemical pesticides,788
Soybean,2024-02-23,2024-07-15,Flowering,Regular field monitoring,3021
Rice,2024-09-19,2025-01-01,Maturity,Neem oil application,4873
Corn,2024-03-12,2024-09-04,Fruiting,Neem oil application,4143
Wheat,2024-10-11,2025-03-31,Maturity,Crop rotation,797
Lettuce,2024-03-09,2024-08-21,Flowering,Regular field monitoring,962
Potato,2024-05-12,2024-10-18,Fruiting,Crop rotation,1326
Barley,2024-04-02,2024-08-29,Maturity,Regular field monitoring,3351
Rice,2023-11-21,2024-01-22,Vegetative,Regular field monitoring,879
Tomato,2023-07-10,2024-01-02,Vegetative,Chemical pesticides,2041
Barley,2023-12-27,2024-04-07,Flowering,Neem oil application,2365
Corn,2023-04-26,2023-10-08,Maturity,Neem oil application,4547
Corn,2023-06-06,2023-11-04,Flowering,Chemical pesticides,4848
Soybean,2023-10-02,2024-01-06,Seedling,Regular field monitoring,4087
Tomato,2023-06-10,2023-10-25,Maturity,Regular field monitoring,3250
Soybean,2023-04-05,2023-08-26,Maturity,Neem oil application,4951
Corn,2024-10-26,2025-03-07,Flowering,Regular field monitoring,2476
Tomato,2024-01-21,2024-04-13,Vegetative,Crop rotation,881
Lettuce,2023-05-19,2023-10-22,Maturity,Chemical pesticides,2505
Rice,2023-09-12,2024-02-26,Seedling,Use of organic pesticides,1775
Lettuce,2024-03-04,2024-06-15,Seedling,Biological pest control,1175
Cotton,2024-07-05,2024-10-25,Fruiting,Neem oil application,605
Barley,2023-04-26,2023-10-14,Flowering,Regular field monitoring,4469
Tomato,2024-02-23,2024-07-11,Flowering,Use of organic pesticides,3157
Sugarcane,2024-09-09,2024-11-13,Vegetative,Biological pest control,4927
Rice,2023-03-07,2023-05-30,Fruiting,Biological pest control,4549
Rice,2024-01-25,2024-06-17,Fruiting,Use of organic pesticides,2668
Cotton,2024-04-08,2024-10-04,Fruiting,Biological pest control,3658
Cotton,2023-05-02,2023-07-05,Seedling,Neem oil application,827
Potato,2025-01-04,2025-05-30,Seedling,Crop rotation,2138
Barley,2023-10-18,2024-01-14,Fruiting,Crop rotation,3655
